url,etat,matiere,couleur,categorie,likes,prix,prix_total,collection
https://www.vinted.fr/items/8904734064-body-blanco?referrer=catalog,Neuf sans étiquette,Coton,Blanc,Hauts et t-shirts,41,"3,00 €","3,85 €",femme
https://www.vinted.fr/items/8903187229-tee-shirt-blanc-a-manches-courtes-zara-femme?referrer=catalog,Très bon état,Coton,Blanc,Hauts et t-shirts,49,"4,00 €","4,63 €",femme
https://www.vinted.fr/items/8904938467-penta-cour-large-en-tailleur-zara?referrer=catalog,Neuf sans étiquette,"Coton, Polyester",Beige,Pantalons et leggings,24,"10,00 €","10,95 €",femme
https://www.vinted.fr/items/8904758247-pantalon-fluide-noir-zara?referrer=catalog,Neuf sans étiquette,"Polyester, Élasthanne",Noir,Pantalons et leggings,11,"15,00 €","16,38 €",femme
https://www.vinted.fr/items/8904826763-belle-longue-chemise-blanche-coton-36?referrer=catalog,Très bon état,Coton,Blanc,Hauts et t-shirts,18,"6,00 €","6,61 €",femme
https://www.vinted.fr/items/8900903742-blazer-noir?referrer=catalog,Très bon état,"Polyester, Viscose, Élasthanne",Noir,Blazers et tailleurs,79,"15,00 €","16,40 €",femme
https://www.vinted.fr/items/8904380536-ensemble-blanc?referrer=catalog,Très bon état,"Coton, Polyester",Blanc,Vêtements de sport,21,"11,00 €","12,12 €",femme
https://www.vinted.fr/items/8905086248-debardeur-col-v-femme-blanc-zara?referrer=catalog,Très bon état,Coton,Blanc,Hauts et t-shirts,11,"4,00 €","4,63 €",femme
https://www.vinted.fr/items/8902183511-ensemble-beige-zara-jupe-et-top-s?referrer=catalog,Neuf sans étiquette,,Beige,Costumes et tenues particulières,20,"15,00 €","16,45 €",femme
https://www.vinted.fr/items/8903930579-tee-shirt-blanc-zara?referrer=catalog,Très bon état,,Blanc,Hauts et t-shirts,42,"4,00 €","4,63 €",femme
https://www.vinted.fr/items/8903521032-lot-haut-femme-zara?referrer=catalog,Très bon état,Polyester,"Orange, Corail",Hauts et t-shirts,37,"3,00 €","3,85 €",femme
https://www.vinted.fr/items/8895280853-jupe-short-zara?referrer=catalog,Très bon état,"Polyester, Viscose",Crème,Jupes-shorts,56,"10,00 €","11,05 €",femme
https://www.vinted.fr/items/8901194050-chemise-crop-a-lignes?referrer=catalog,Très bon état,Coton,"Bleu, Blanc",Hauts et t-shirts,17,"6,00 €","7,00 €",femme
https://www.vinted.fr/items/8901677366-body-zara-blanc?referrer=catalog,Très bon état,"Coton, Élasthanne",Blanc,Hauts et t-shirts,10,"5,00 €","5,53 €",femme
https://www.vinted.fr/items/8904807041-completo-lino-zara?referrer=catalog,Neuf sans étiquette,,Bleu clair,Blazers et tailleurs,90,"40,00 €","43,50 €",femme
https://www.vinted.fr/items/8905130645-combinaison-en-lin-moutarde-zara-taille-xs?referrer=catalog,Très bon état,,Moutarde,Combinaisons et combishorts,8,"12,00 €","13,30 €",femme
https://www.vinted.fr/items/8904191812-t-shirt-rustica-100-algodao-zara?referrer=catalog,Neuf avec étiquette,,Blanc,Hauts et t-shirts,78,"9,20 €","10,19 €",femme
https://www.vinted.fr/items/8904006728-chemise-bleu-clair-zara?referrer=catalog,Très bon état,Coton,Bleu clair,Hauts et t-shirts,7,"5,00 €","5,53 €",femme
https://www.vinted.fr/items/8897713431-jupe-tube-noire-femme-zara-basics-taille-m?referrer=catalog,Très bon état,"Polyester, Viscose, Élasthanne",Noir,Jupes,38,"5,00 €","5,70 €",femme
https://www.vinted.fr/items/8903714384-veste-manteau-ete?referrer=catalog,Neuf sans étiquette,"Coton, Lin",Crème,Manteaux et vestes,12,"10,00 €","11,05 €",femme
