nom,couleur,prix,collection,categorie,couleur_generique,matiere_principale,type_matiere_principal
robe mi-longue fluide,mauve poudré,,femme,robe,rose/violet,viscose,fibre artificielle
sandales à brides et décor métallique,marron,,femme,sandales,marron,polyuréthane,fibre synthétique
combi-short lyocell,noir,,femme,combi-short,noir/gris,lyocell,fibre artificielle
jean trf loose folded taille basse à rayures,unique,,femme,jean,autres,coton,fibre naturelle végétale
robe fluide à encolure américaine,vert huile,,femme,robe,vert,viscose,fibre artificielle
veste croisée,brique foncée,,femme,veste,autres,viscose,fibre artificielle
lot de 3 bracelets bois et résine,multicolore,,femme,lot,motif/multicolore,bois de manguier,autres
sandales à talons imprimées,léopard,,femme,sandales,motif/multicolore,polyester,fibre synthétique
short fluide avec boutons,mauve clair,,femme,short,rose/violet,viscose,fibre artificielle
t-shirt texte brillant effet délavé,gris anthracite,,femme,t-shirt,noir/gris,coton,fibre naturelle végétale
veste à rayures 100% lin,brown stripes,,femme,veste,autres,lin,fibre naturelle végétale
pantalon droit à rayures,beige-marron,,femme,pantalon,blanc/beige,coton,fibre naturelle végétale
chemise cintree froncee,écru / noir,,femme,chemise,noir/gris,coton,fibre naturelle végétale
chemise fluide à manches courtes,mauve clair,,femme,chemise,rose/violet,viscose,fibre artificielle
blouson ajusté à brandebourgs,blanc,,femme,blouson,blanc/beige,coton,fibre naturelle végétale
top à boutons et lin,bleu-poudré,,femme,top,bleu,coton,fibre naturelle végétale
top en georgette à encolure américaine et à pois,blanc / noir,,femme,top,noir/gris,polyester,fibre synthétique
top fluide col en v,écru,,femme,top,blanc/beige,polyester,fibre synthétique
chemise oversize en coton,bleu marine,,femme,chemise,bleu,coton,fibre naturelle végétale
robe courte halter fluide,noir,,femme,robe,noir/gris,lyocell,fibre artificielle
jupe asymétrique fluide,sable,,femme,jupe,autres,polyester,fibre synthétique
short mini denim trf étoiles,bleu,,femme,short,bleu,coton,fibre naturelle végétale
chemise fluide à manches courtes,bleu clair,,femme,chemise,bleu,lyocell,fibre artificielle
pantalon à rayures 100 % lin,brown stripes,,femme,pantalon,autres,lin,fibre naturelle végétale
bonnet lisse calotte,beige clair,,femme,bonnet,blanc/beige,pâte de cellulose,fibre artificielle
short évasé en satin,imprimée,,femme,short,motif/multicolore,polyester,fibre synthétique
pantalon fluide large,brique foncée,,femme,pantalon,autres,viscose,fibre artificielle
pantalon fluide à cordons,bleu clair,,femme,pantalon,bleu,lyocell,fibre artificielle
sandales plates en daim à boucle,marron,,femme,sandales,marron,cuir de vache,cuir
bonnet calot tressé,marron,,femme,bonnet,marron,polyester,fibre synthétique
robe courte en maille à rayures,blanc / noir,,femme,robe,noir/gris,polyester,fibre synthétique
lunettes de soleil rectangulaires,rouge foncé,,homme,lunettes,rouge,acétate,fibre artificielle
blazer regular fit en daim,sable,,homme,blazer,autres,cuir de chèvre,cuir
sac shopper en tissu,blanc écru,,homme,sac,blanc/beige,coton,fibre naturelle végétale
t-shirt imprimé contrastant avec pièce,bleu ciel,,homme,t-shirt,bleu,coton,fibre naturelle végétale
pantalon à plis de costume 100 % lin,blanc,,homme,pantalon,blanc/beige,lin,fibre naturelle végétale
lunettes de soleil œil-de-chat,noir,,homme,lunettes,noir/gris,diacétate de cellulose,fibre artificielle
lunettes de soleil rectangulaires,écaille,,homme,lunettes,autres,acétate,fibre artificielle
blouson technique relaxed fit,écru,,homme,blouson,blanc/beige,polyamide,fibre synthétique
chemise à carreaux brodée contrastée,camel/blanc,,homme,chemise,blanc/beige,coton,fibre naturelle végétale
jort en denim à ceinture,marron,,homme,jort,marron,coton,fibre naturelle végétale
mocassins en cuir avec masque,noir,,homme,mocassins,noir/gris,cuir de vache,cuir
sac bandoulière en cuir,noir,,homme,sac,noir/gris,cuir de vache,cuir
polo technique à zip,écru moyen,,homme,polo,blanc/beige,polyester,fibre synthétique
sac bandoulière unie,marron,,homme,sac,marron,polyester,fibre synthétique
espadrille en cuir,marron sable,,homme,espadrille,marron,cuir de vache,cuir
sweat piqué col zippé,bleu marine,,homme,sweat,bleu,coton,fibre naturelle végétale
bandana à imprimé géométrique graphique,bleu marine,,homme,bandana,bleu,coton,fibre naturelle végétale
chemise fluide à imprimé fleuri,bleu moyen,,homme,chemise,bleu,viscose,fibre artificielle
chemise smoking à poignets mousquetaires,blanc,,homme,chemise,blanc/beige,coton,fibre naturelle végétale
pantalon relaxed straight fit à rayures,rayures,,homme,pantalon,autres,coton,fibre naturelle végétale
veste en denim avec brandenbourgs et boutons,charbon,,homme,veste,autres,coton,fibre naturelle végétale
blouson délavé coupe décontractée,bleu encre,,homme,blouson,bleu,coton,fibre naturelle végétale
chemise à carreaux lin et coton,grisâtre,,homme,chemise,noir/gris,coton,fibre naturelle végétale
